gene,mean_vst,min_vst,max_vst,min_percentile,mean_percentile,expression_category
Amblyomma-americanum_evm.model.contig-118404-1.3,4.7581498514057605,2.242320186995044,8.673155184870566,7,53,always
Amblyomma-americanum_evm.model.contig-118408-1.2,3.3789024052654124,2.300144536625609,6.160948498471878,8,24,always
Amblyomma-americanum_evm.model.contig-118408-1.4,2.19398704517829,0.3385494294520451,3.685211022060364,0,7,always
Amblyomma-americanum_evm.model.contig-118425-1.2,7.421516340735824,4.012966320332033,9.554939053536714,37,89,always
Amblyomma-americanum_evm.model.contig-118710-1.4,4.79686164016054,3.1978190602153047,6.4627185025988805,20,54,always
Amblyomma-americanum_evm.model.contig-118778-1.1,5.18733353216741,3.8347610461702617,6.3027196537525265,33,61,always
Amblyomma-americanum_evm.model.contig-118778-1.2,6.06094281164952,3.9335611990749038,7.687876513826558,35,76,always
Amblyomma-americanum_evm.model.contig-119069-1.2,6.027428332693347,4.891967005148629,7.54964634338031,55,75,always
Amblyomma-americanum_evm.model.contig-11909-1.1,5.129174929998858,3.478539383693682,5.855141996873878,26,60,always
Amblyomma-americanum_evm.model.contig-119163-1.1,3.040369855971765,1.8250043595824739,4.3196217225572875,4,17,always
Amblyomma-americanum_evm.model.contig-119237-1.1,4.1537290914710905,3.430183958102883,5.038195034706102,25,40,always
Amblyomma-americanum_evm.model.contig-11987-1.4,3.5514765730996967,1.789114799760723,5.4246705889644815,4,28,always
Amblyomma-americanum_evm.model.contig-119986-1.1,3.0609689314577175,1.7302148288016381,4.343954431424853,4,17,always
Amblyomma-americanum_evm.model.contig-119989-1.2,3.8072142415692327,2.7214529185383847,6.026513189140121,13,33,always
Amblyomma-americanum_evm.model.contig-12009-1.5,3.008417560507432,2.408287743057097,3.538340917922284,9,17,always
Amblyomma-americanum_evm.model.contig-120373-1.1,6.2481003173075385,2.0858814055235775,9.186764199347229,6,78,always
Amblyomma-americanum_evm.model.contig-120629-1.1,6.942884593309002,5.128160236998932,8.396031799206458,60,85,always
Amblyomma-americanum_evm.model.contig-120629-1.2,7.240866250831878,6.214467046158718,9.276648786493759,78,88,always
Amblyomma-americanum_evm.model.contig-120629-1.3,4.769508583268113,2.7810256223180225,6.370347724617907,14,53,always
Amblyomma-americanum_evm.model.contig-120673-1.1,3.9619102128612536,2.282042341675202,5.544163187190068,8,36,always
Amblyomma-americanum_evm.model.contig-120806-1.2,5.365901625711985,3.2289105827003524,7.131515808608425,20,64,always
Amblyomma-americanum_evm.model.contig-120923-1.1,3.890749279500133,2.590702744614484,5.45088494872127,11,34,always
Amblyomma-americanum_evm.model.contig-121290-1.13,4.676377060445716,1.7865485159084913,5.916237799085087,4,51,always
Amblyomma-americanum_evm.model.contig-121290-1.7,3.573835706023579,2.7481576233587455,4.959199673422018,13,28,always
Amblyomma-americanum_evm.model.contig-121290-1.9,3.010892626693849,2.3173103775925976,3.3995221815465118,8,17,always
Amblyomma-americanum_evm.model.contig-12146-1.1,2.9334836266017077,2.2882114918221728,3.716136149404718,8,16,always
Amblyomma-americanum_evm.model.contig-12146-1.3,2.3532724742442497,0.19989149213907864,5.587166777580704,0,9,always
Amblyomma-americanum_evm.model.contig-121795-1.1,4.400747989363412,3.4956126030892425,5.375617683500211,26,45,always
Amblyomma-americanum_evm.model.contig-121857-1.4,3.152768358862571,2.3860517620110486,3.8899578903733456,9,19,always
Amblyomma-americanum_evm.model.contig-121934-1.1,5.596056936097584,3.3644665353232526,8.616343602093773,23,68,always
Amblyomma-americanum_evm.model.contig-121934-1.3,2.4664772396991825,1.0505156666670157,4.913949977666157,1,10,always
Amblyomma-americanum_evm.model.contig-121943-1.11,4.3230748871562446,3.423928209160696,5.032858360018039,25,43,always
Amblyomma-americanum_evm.model.contig-121943-1.8,7.798259826508909,6.383158323308082,9.289001952375084,80,92,always
evm.TU.contig_122135_1.3,2.802558416544654,0.9141148499046867,6.798777263831146,1,14,always
Amblyomma-americanum_evm.model.contig-122137-1.2,4.663311075588808,3.4354819892526796,7.440963441843545,25,51,always
Amblyomma-americanum_evm.model.contig-122333-1.2,8.520168421555256,7.457209799060386,9.62355941743419,90,95,always
Amblyomma-americanum_evm.model.contig-122337-1.1,7.718280314978631,5.729343025660041,9.0318200687102,71,91,always
